purchase_order_id,created_at,last_updated,staff_id,counterparty_id,item_code,item_quantity,item_unit_price,currency_id,agreed_delivery_date,agreed_payment_date,agreed_delivery_location_id
1,2022-11-03 14:20:52.187000,2022-11-03 14:20:52.187000,12,11,ZDOI5EA,371,361.39,2,2022-11-09,2022-11-07,6
2,2022-11-03 14:20:52.186000,2022-11-03 14:20:52.186000,20,17,QLZLEXR,286,199.04,2,2022-11-04,2022-11-07,8
3,2022-11-03 14:20:52.187000,2022-11-03 14:20:52.187000,12,15,AN3D85L,839,658.58,2,2022-11-05,2022-11-04,16
5,2022-11-03 14:20:52.186000,2022-11-03 14:20:52.186000,18,2,I9MET53,316,803.82,3,2022-11-10,2022-11-05,2
62,2022-11-30 08:02:10.683000,2022-11-30 08:02:10.683000,13,12,QKQQ9IS,597,714.89,2,2022-12-03,2022-12-03,11
6,2022-11-04 11:59:09.990000,2022-11-04 11:59:09.990000,11,5,DAOECK5,926,155.70,2,2022-11-04,2022-11-08,24
7,2022-11-04 12:18:09.885000,2022-11-04 12:18:09.885000,20,5,PBF02WW,51,909.87,2,2022-11-10,2022-11-07,7
8,2022-11-04 18:03:10.233000,2022-11-04 18:03:10.233000,15,20,8R25O35,119,782.15,2,2022-11-10,2022-11-09,5
10,2022-11-07 17:06:10.294000,2022-11-07 17:06:10.294000,3,10,M9NO0XK,14,695.86,2,2022-11-12,2022-11-09,13
11,2022-11-07 17:36:09.898000,2022-11-07 17:36:09.898000,15,4,RRGNEG2,991,225.64,3,2022-11-13,2022-11-08,29
13,2022-11-08 15:30:10.600000,2022-11-08 15:30:10.600000,6,20,M7DY4XU,850,596.50,3,2022-11-14,2022-11-09,19
14,2022-11-08 17:34:09.912000,2022-11-08 17:34:09.912000,19,7,LJDZX2T,582,321.35,2,2022-11-11,2022-11-11,25
15,2022-11-08 18:50:10.306000,2022-11-08 18:50:10.306000,7,15,53FS4LJ,217,616.20,2,2022-11-14,2022-11-09,6
16,2022-11-09 08:41:10.654000,2022-11-09 08:41:10.654000,13,17,XTI9R6R,998,93.43,3,2022-11-14,2022-11-10,12
4,2022-11-03 14:20:52.187000,2022-11-03 14:20:52.187000,18,17,P4O34NV,720,79.26,2,2022-11-06,2022-11-06,7
17,2022-11-10 13:10:10.329000,2022-11-10 13:10:10.329000,20,5,TJXHSOW,987,647.40,2,2022-11-14,2022-11-15,6
18,2022-11-10 13:16:09.911000,2022-11-10 13:16:09.911000,6,6,DFNGPZ1,342,675.04,3,2022-11-14,2022-11-11,23
19,2022-11-10 15:49:10.108000,2022-11-10 15:49:10.108000,11,4,IQ6Z9YA,621,472.45,2,2022-11-11,2022-11-11,14
20,2022-11-11 11:18:10.421000,2022-11-11 11:18:10.421000,8,15,GAU0VXO,848,145.77,3,2022-11-17,2022-11-16,22
21,2022-11-11 14:25:10.197000,2022-11-11 14:25:10.197000,4,20,T67H77C,385,593.00,2,2022-11-14,2022-11-17,30
22,2022-11-11 17:40:10.497000,2022-11-11 17:40:10.497000,7,7,GEMNFRI,606,476.82,3,2022-11-15,2022-11-17,28
23,2022-11-14 08:12:10.313000,2022-11-14 08:12:10.313000,16,18,CZM6IOU,227,668.72,2,2022-11-19,2022-11-15,2
24,2022-11-14 18:25:10.356000,2022-11-14 18:25:10.356000,13,10,NYBKXGX,708,484.26,3,2022-11-18,2022-11-15,24
26,2022-11-15 08:46:09.877000,2022-11-15 08:46:09.877000,3,10,8LZ0CE6,844,343.39,2,2022-11-15,2022-11-17,30
27,2022-11-15 15:39:10.617000,2022-11-15 15:39:10.617000,17,19,WBVSMXH,737,957.81,3,2022-11-19,2022-11-20,17
28,2022-11-15 17:12:10.531000,2022-11-15 17:12:10.531000,9,19,5MWHVVC,89,272.25,3,2022-11-19,2022-11-17,16
29,2022-11-17 13:01:10.403000,2022-11-17 13:01:10.403000,7,2,Y3GUQMG,870,511.06,3,2022-11-19,2022-11-19,3
30,2022-11-17 16:34:10.296000,2022-11-17 16:34:10.296000,7,13,BZ9844U,703,779.25,2,2022-11-20,2022-11-21,13
31,2022-11-17 17:01:10.091000,2022-11-17 17:01:10.091000,3,7,S9R4LED,391,200.76,3,2022-11-24,2022-11-22,10
32,2022-11-18 13:52:10.512000,2022-11-18 13:52:10.512000,18,11,2KCHQ3S,818,980.82,3,2022-11-21,2022-11-23,2
34,2022-11-18 16:54:10.339000,2022-11-18 16:54:10.339000,15,19,2V1R1Z9,867,354.00,3,2022-11-22,2022-11-19,29
35,2022-11-21 08:50:10.292000,2022-11-21 08:50:10.292000,13,14,MASCUUC,682,30.45,3,2022-11-21,2022-11-24,23
36,2022-11-21 14:51:10.476000,2022-11-21 14:51:10.476000,9,4,QWPK0F3,525,99.92,3,2022-11-25,2022-11-22,29
37,2022-11-21 17:40:10.151000,2022-11-21 17:40:10.151000,19,19,AVTOJ6F,902,336.79,2,2022-11-24,2022-11-25,3
38,2022-11-22 10:40:10.213000,2022-11-22 10:40:10.213000,16,2,Q09PCAI,965,977.67,3,2022-11-27,2022-11-24,29
39,2022-11-22 12:23:10.271000,2022-11-22 12:23:10.271000,14,6,TFBCIRE,214,345.55,3,2022-11-26,2022-11-27,30
40,2022-11-22 13:38:10.357000,2022-11-22 13:38:10.357000,5,7,WZ7AEP7,489,180.52,3,2022-11-22,2022-11-24,14
41,2022-11-22 17:02:10.130000,2022-11-22 17:02:10.130000,4,20,125IBOG,288,894.07,2,2022-11-23,2022-11-23,19
42,2022-11-22 18:41:10.413000,2022-11-22 18:41:10.413000,10,20,192K94Q,154,977.75,3,2022-11-22,2022-11-28,12
43,2022-11-23 10:55:10.588000,2022-11-23 10:55:10.588000,3,15,ERKM497,865,343.27,3,2022-11-23,2022-11-28,2
44,2022-11-24 10:05:09.988000,2022-11-24 10:05:09.988000,7,20,BJ74S77,273,261.07,3,2022-11-28,2022-11-25,29
45,2022-11-24 10:07:10.009000,2022-11-24 10:07:10.009000,8,20,HWP01PM,714,49.15,3,2022-11-27,2022-11-24,8
46,2022-11-24 12:59:10.194000,2022-11-24 12:59:10.194000,20,5,MNZGQ80,61,346.91,3,2022-11-27,2022-11-28,20
47,2022-11-24 14:24:10.180000,2022-11-24 14:24:10.180000,6,19,9NSEYM2,287,746.27,2,2022-11-30,2022-11-29,18
48,2022-11-24 16:46:10.333000,2022-11-24 16:46:10.333000,17,4,AC6KJXU,129,116.24,3,2022-11-30,2022-11-25,8
49,2022-11-25 10:03:10.592000,2022-11-25 10:03:10.592000,12,7,LYOYVQI,248,757.18,3,2022-11-30,2022-11-26,24
50,2022-11-25 12:27:10.103000,2022-11-25 12:27:10.103000,16,20,UO837BJ,407,419.45,3,2022-11-28,2022-11-29,6
51,2022-11-25 15:26:10.298000,2022-11-25 15:26:10.298000,20,3,49DELPD,976,769.01,3,2022-12-02,2022-11-27,12
53,2022-11-28 10:07:10.403000,2022-11-28 10:07:10.403000,6,10,9YOXW3R,416,431.19,2,2022-12-04,2022-11-29,13
54,2022-11-28 13:38:10.234000,2022-11-28 13:38:10.234000,14,6,G7NZQQP,884,455.39,3,2022-12-05,2022-12-02,2
55,2022-11-28 17:20:10.500000,2022-11-28 17:20:10.500000,20,4,QXJRI5A,356,319.48,3,2022-11-30,2022-12-04,18
56,2022-11-29 10:24:10.405000,2022-11-29 10:24:10.405000,3,12,C0X781W,333,490.10,3,2022-12-03,2022-12-03,23
57,2022-11-29 13:39:10.260000,2022-11-29 13:39:10.260000,2,4,O4ROVNB,370,120.37,3,2022-12-03,2022-12-01,25
58,2022-11-29 15:28:10.130000,2022-11-29 15:28:10.130000,13,9,4E2HK38,28,593.03,2,2022-12-03,2022-11-30,23
59,2022-11-29 15:57:09.758000,2022-11-29 15:57:09.758000,5,11,23X5OSY,256,792.09,3,2022-12-04,2022-12-01,26
60,2022-11-29 16:44:10.130000,2022-11-29 16:44:10.130000,17,13,HQOQR49,750,813.96,2,2022-12-06,2022-12-02,28
61,2022-11-29 16:58:10.193000,2022-11-29 16:58:10.193000,15,19,03AYJOM,817,273.41,2,2022-12-01,2022-12-03,7
63,2022-11-30 11:10:10.276000,2022-11-30 11:10:10.276000,15,12,K40Y8WT,215,37.05,3,2022-12-06,2022-12-03,23
64,2022-11-30 13:50:10.565000,2022-11-30 13:50:10.565000,18,6,MEGVKKT,205,850.12,3,2022-12-03,2022-12-04,2
66,2022-11-30 16:19:10.238000,2022-11-30 16:19:10.238000,11,8,9HYLXXC,364,962.57,3,2022-12-01,2022-12-01,28
67,2022-11-30 16:31:10.081000,2022-11-30 16:31:10.081000,7,17,LP1G6EQ,540,540.11,2,2022-12-07,2022-12-02,30
68,2022-12-01 08:51:10.319000,2022-12-01 08:51:10.319000,17,11,V2YLM1K,100,713.78,3,2022-12-02,2022-12-02,24
65,2022-11-30 15:56:10.320000,2022-11-30 15:56:10.320000,9,9,ADRY56K,491,767.45,2,2022-12-03,2022-12-03,16
69,2022-12-02 08:02:10.602000,2022-12-02 08:02:10.602000,17,16,F8YEJO7,619,554.18,3,2022-12-02,2022-12-03,12
52,2022-11-25 15:52:11.948000,2022-11-25 15:52:11.948000,6,9,5NKH610,615,108.29,3,2022-11-26,2022-11-26,13
9,2022-11-07 11:16:10.249000,2022-11-07 11:16:10.249000,15,11,7GNX4Q9,818,464.83,2,2023-01-28,2022-11-13,8
33,2022-11-18 16:45:10.296000,2022-11-18 16:45:10.296000,19,8,8M1W7NO,225,905.38,3,2022-11-23,2022-11-20,6
25,2022-11-15 08:12:10.373000,2022-11-15 08:12:10.373000,11,19,2NUNHIZ,842,251.09,2,2022-11-19,2022-11-15,2
12,2022-11-08 14:07:10.394000,2022-11-08 14:07:10.394000,10,15,IWKEK7C,917,226.71,3,2022-11-15,2022-11-08,25
71,2022-12-02 14:08:10.419000,2022-12-02 14:08:10.419000,7,7,VTDGFWB,78,310.64,2,2022-12-03,2022-12-06,3
72,2022-12-02 14:33:10.499000,2022-12-02 14:33:10.499000,13,11,IDEJZEC,357,665.10,3,2022-12-03,2022-12-07,3
73,2022-12-02 14:57:10.268000,2022-12-02 14:57:10.268000,13,5,4UC2DPM,645,950.75,2,2022-12-04,2022-12-07,3
74,2022-12-02 18:18:10.013000,2022-12-02 18:18:10.013000,8,9,UKKC2IB,143,720.38,3,2022-12-05,2022-12-06,24
75,2022-12-05 11:15:10.567000,2022-12-05 11:15:10.567000,11,7,S6VGIQD,338,189.94,3,2022-12-12,2022-12-10,13
76,2022-12-05 13:52:10.727000,2022-12-05 13:52:10.727000,7,13,CIFE05X,139,225.75,2,2022-12-07,2022-12-09,4
77,2022-12-07 10:16:10.443000,2022-12-07 10:16:10.443000,11,17,MJNU825,59,869.98,3,2022-12-09,2022-12-10,5
78,2022-12-07 18:50:10.398000,2022-12-07 18:50:10.398000,13,9,VIQIIJP,505,53.00,3,2022-12-10,2022-12-08,27
79,2022-12-08 08:26:10.158000,2022-12-08 08:26:10.158000,19,9,T4HR284,738,808.76,3,2022-12-08,2022-12-08,18
80,2022-12-08 13:22:10.352000,2022-12-08 13:22:10.352000,8,5,NSMQ9R0,272,39.24,3,2022-12-11,2022-12-09,21
81,2022-12-08 13:55:09.735000,2022-12-08 13:55:09.735000,4,11,R8QYXVD,144,519.65,2,2022-12-14,2022-12-11,27
82,2022-12-08 15:09:10.310000,2022-12-08 15:09:10.310000,8,9,2P133O7,648,366.90,2,2022-12-11,2022-12-09,28
84,2022-12-08 18:36:10.150000,2022-12-08 18:36:10.150000,5,20,SPUOWHK,953,288.58,3,2022-12-14,2022-12-10,29
85,2022-12-09 08:02:10.559000,2022-12-09 08:02:10.559000,12,17,XP2H8BI,80,351.64,3,2022-12-10,2022-12-13,4
86,2022-12-09 08:34:10.212000,2022-12-09 08:34:10.212000,9,4,MJWBM67,858,921.62,3,2022-12-12,2022-12-11,9
87,2022-12-09 12:50:09.993000,2022-12-09 12:50:09.993000,16,6,AEFRPKS,830,720.62,3,2022-12-11,2022-12-13,3
132,2022-12-19 12:51:10.277000,2022-12-19 12:51:10.277000,16,8,2YA6UBQ,917,516.20,3,2022-12-20,2022-12-20,16
88,2022-12-09 18:05:10.448000,2022-12-09 18:05:10.448000,4,2,MG91QP1,676,774.47,2,2022-12-13,2022-12-09,22
83,2022-12-08 18:26:09.915000,2022-12-08 18:26:09.915000,11,8,3UJB8GE,853,101.01,3,2022-12-08,2022-12-14,26
89,2022-12-12 09:24:12.873000,2022-12-12 09:24:12.873000,17,13,DP8W8DH,769,97.92,2,2022-12-15,2022-12-14,12
90,2022-12-12 10:09:10.209000,2022-12-12 10:09:10.209000,20,17,DO51WYY,485,52.96,2,2022-12-19,2022-12-17,29
91,2022-12-12 10:19:10.089000,2022-12-12 10:19:10.089000,14,14,2S27ZG5,546,698.97,3,2022-12-13,2022-12-16,14
92,2022-12-12 12:17:10.239000,2022-12-12 12:17:10.239000,16,20,7AMGCNF,743,394.68,3,2022-12-15,2022-12-17,3
93,2022-12-12 13:28:10.424000,2022-12-12 13:28:10.424000,13,17,OPIRN1G,559,963.16,3,2022-12-19,2022-12-15,5
94,2022-12-12 15:06:10.283000,2022-12-12 15:06:10.283000,7,10,J1UB4WJ,970,592.24,3,2022-12-19,2022-12-13,11
95,2022-12-13 10:17:10.686000,2022-12-13 10:17:10.686000,4,9,VJGSU83,384,181.32,3,2022-12-13,2022-12-16,4
96,2022-12-13 10:18:10.659000,2022-12-13 10:18:10.659000,14,11,NL8SGGF,659,105.34,2,2022-12-13,2022-12-17,9
97,2022-12-13 11:54:10.025000,2022-12-13 11:54:10.025000,20,12,V0AFR0X,973,256.06,3,2022-12-16,2022-12-16,10
98,2022-12-13 12:09:10.185000,2022-12-13 12:09:10.185000,5,15,F0B03XM,728,721.31,3,2022-12-17,2022-12-15,16
99,2022-12-13 12:18:10.077000,2022-12-13 12:18:10.077000,15,10,PWGV53M,792,483.52,2,2022-12-17,2022-12-16,15
100,2022-12-13 13:19:10.182000,2022-12-13 13:19:10.182000,16,5,0DD1XVN,240,446.58,3,2022-12-20,2022-12-14,9
101,2022-12-13 15:07:10.092000,2022-12-13 15:07:10.092000,10,16,DGA4V8L,333,800.84,3,2022-12-19,2022-12-16,18
102,2022-12-13 15:40:10.165000,2022-12-13 15:40:10.165000,19,5,PGU0W4K,505,136.99,3,2022-12-19,2022-12-16,27
104,2022-12-13 18:27:10.132000,2022-12-13 18:27:10.132000,10,10,GGETAGU,558,147.04,2,2022-12-14,2022-12-18,18
105,2022-12-13 18:50:10.373000,2022-12-13 18:50:10.373000,3,4,SWRITQQ,838,361.67,2,2022-12-19,2022-12-19,12
106,2022-12-13 18:52:09.954000,2022-12-13 18:52:09.954000,4,17,11N4ER1,927,745.04,2,2022-12-17,2022-12-17,19
107,2022-12-14 08:13:10.032000,2022-12-14 08:13:10.032000,4,17,X5MBN57,319,107.69,2,2022-12-20,2022-12-16,5
109,2022-12-14 09:46:10.237000,2022-12-14 09:46:10.237000,19,6,3CAMLXR,270,99.03,3,2022-12-18,2022-12-17,20
110,2022-12-14 11:21:10.318000,2022-12-14 11:21:10.318000,10,18,WXD3EAW,564,212.37,2,2022-12-16,2022-12-15,24
111,2022-12-14 11:27:09.890000,2022-12-14 11:27:09.890000,16,6,GPGE3ZI,527,708.01,2,2022-12-14,2022-12-17,22
112,2022-12-14 13:16:10.432000,2022-12-14 13:16:10.432000,13,9,MVZS73K,770,436.68,3,2022-12-15,2022-12-15,20
113,2022-12-14 15:21:10.330000,2022-12-14 15:21:10.330000,7,11,W5G6UVF,438,916.35,3,2022-12-14,2022-12-17,18
114,2022-12-14 15:46:09.955000,2022-12-14 15:46:09.955000,11,15,2GO6WWS,175,388.29,2,2022-12-20,2022-12-15,2
115,2022-12-14 16:33:10.154000,2022-12-14 16:33:10.154000,12,9,L993EQO,141,861.28,3,2022-12-17,2022-12-20,27
116,2022-12-15 08:25:10.328000,2022-12-15 08:25:10.328000,5,7,2SWVFZ7,586,944.05,2,2022-12-20,2022-12-16,28
117,2022-12-15 08:34:10.173000,2022-12-15 08:34:10.173000,12,20,2RFSJ98,769,127.55,3,2022-12-16,2022-12-17,26
118,2022-12-15 11:25:10,2022-12-15 11:25:10,3,15,4S1BRDD,142,824.19,2,2022-12-20,2022-12-16,13
120,2022-12-15 12:00:10.265000,2022-12-15 12:00:10.265000,10,17,UK1Z6QF,464,275.41,2,2022-12-18,2022-12-18,21
121,2022-12-15 12:19:10.475000,2022-12-15 12:19:10.475000,12,10,LH3PZ22,121,675.18,2,2022-12-16,2022-12-20,20
122,2022-12-15 13:03:09.892000,2022-12-15 13:03:09.892000,20,18,PJNM066,597,909.08,2,2022-12-16,2022-12-20,2
123,2022-12-15 15:50:10.110000,2022-12-15 15:50:10.110000,14,14,12NS8JF,197,422.97,2,2022-12-18,2022-12-17,20
124,2022-12-16 08:07:10.327000,2022-12-16 08:07:10.327000,15,18,9GXZ3I1,606,94.68,3,2022-12-22,2022-12-21,13
125,2022-12-16 09:55:10.232000,2022-12-16 09:55:10.232000,2,10,V343HI2,158,124.42,2,2022-12-22,2022-12-16,8
126,2022-12-16 12:24:10.368000,2022-12-16 12:24:10.368000,19,10,WNGGMN0,630,951.49,2,2022-12-18,2022-12-18,30
127,2022-12-16 15:10:10.347000,2022-12-16 15:10:10.347000,16,17,IO9OX77,822,979.29,3,2022-12-18,2022-12-20,12
