transaction_id,transaction_type,sales_order_id,purchase_order_id,created_at,last_updated
1,PURCHASE,,2,2022-11-03 14:20:52.186000,2022-11-03 14:20:52.186000
2,PURCHASE,,3,2022-11-03 14:20:52.187000,2022-11-03 14:20:52.187000
3,SALE,1,,2022-11-03 14:20:52.186000,2022-11-03 14:20:52.186000
4,PURCHASE,,1,2022-11-03 14:20:52.187000,2022-11-03 14:20:52.187000
5,PURCHASE,,4,2022-11-03 14:20:52.187000,2022-11-03 14:20:52.187000
6,SALE,2,,2022-11-03 14:20:52.186000,2022-11-03 14:20:52.186000
7,SALE,3,,2022-11-03 14:20:52.188000,2022-11-03 14:20:52.188000
8,PURCHASE,,5,2022-11-03 14:20:52.186000,2022-11-03 14:20:52.186000
9,SALE,5,,2022-11-03 14:20:52.186000,2022-11-03 14:20:52.186000
10,SALE,4,,2022-11-03 14:20:52.188000,2022-11-03 14:20:52.188000
11,SALE,6,,2022-11-04 11:37:10.341000,2022-11-04 11:37:10.341000
12,PURCHASE,,6,2022-11-04 11:59:09.990000,2022-11-04 11:59:09.990000
13,PURCHASE,,7,2022-11-04 12:18:09.885000,2022-11-04 12:18:09.885000
14,SALE,7,,2022-11-04 12:57:09.926000,2022-11-04 12:57:09.926000
15,SALE,8,,2022-11-04 13:45:10.306000,2022-11-04 13:45:10.306000
16,SALE,9,,2022-11-04 15:42:10.886000,2022-11-04 15:42:10.886000
17,PURCHASE,,8,2022-11-04 18:03:10.233000,2022-11-04 18:03:10.233000
18,SALE,10,,2022-11-07 09:07:10.485000,2022-11-07 09:07:10.485000
19,PURCHASE,,9,2022-11-07 11:16:10.249000,2022-11-07 11:16:10.249000
20,SALE,11,,2022-11-07 15:53:10.153000,2022-11-07 15:53:10.153000
21,PURCHASE,,10,2022-11-07 17:06:10.294000,2022-11-07 17:06:10.294000
22,PURCHASE,,11,2022-11-07 17:36:09.898000,2022-11-07 17:36:09.898000
23,PURCHASE,,12,2022-11-08 14:07:10.394000,2022-11-08 14:07:10.394000
24,PURCHASE,,13,2022-11-08 15:30:10.600000,2022-11-08 15:30:10.600000
25,PURCHASE,,14,2022-11-08 17:34:09.912000,2022-11-08 17:34:09.912000
26,PURCHASE,,15,2022-11-08 18:50:10.306000,2022-11-08 18:50:10.306000
27,PURCHASE,,16,2022-11-09 08:41:10.654000,2022-11-09 08:41:10.654000
28,SALE,12,,2022-11-09 10:20:09.912000,2022-11-09 10:20:09.912000
29,SALE,13,,2022-11-09 15:16:10.492000,2022-11-09 15:16:10.492000
30,PURCHASE,,17,2022-11-10 13:10:10.329000,2022-11-10 13:10:10.329000
31,PURCHASE,,18,2022-11-10 13:16:09.911000,2022-11-10 13:16:09.911000
32,SALE,14,,2022-11-10 13:18:09.926000,2022-11-10 13:18:09.926000
33,PURCHASE,,19,2022-11-10 15:49:10.108000,2022-11-10 15:49:10.108000
34,SALE,15,,2022-11-11 08:51:10.286000,2022-11-11 08:51:10.286000
35,PURCHASE,,20,2022-11-11 11:18:10.421000,2022-11-11 11:18:10.421000
36,PURCHASE,,21,2022-11-11 14:25:10.197000,2022-11-11 14:25:10.197000
37,PURCHASE,,22,2022-11-11 17:40:10.497000,2022-11-11 17:40:10.497000
38,PURCHASE,,23,2022-11-14 08:12:10.313000,2022-11-14 08:12:10.313000
39,SALE,16,,2022-11-14 15:32:10.333000,2022-11-14 15:32:10.333000
40,PURCHASE,,24,2022-11-14 18:25:10.356000,2022-11-14 18:25:10.356000
41,PURCHASE,,25,2022-11-15 08:12:10.373000,2022-11-15 08:12:10.373000
42,SALE,17,,2022-11-15 08:46:09.873000,2022-11-15 08:46:09.873000
43,PURCHASE,,26,2022-11-15 08:46:09.877000,2022-11-15 08:46:09.877000
44,PURCHASE,,27,2022-11-15 15:39:10.617000,2022-11-15 15:39:10.617000
45,PURCHASE,,28,2022-11-15 17:12:10.531000,2022-11-15 17:12:10.531000
46,SALE,18,,2022-11-16 08:17:10.016000,2022-11-16 08:17:10.016000
47,SALE,19,,2022-11-16 09:05:10.336000,2022-11-16 09:05:10.336000
48,SALE,20,,2022-11-17 09:52:10.749000,2022-11-17 09:52:10.749000
49,SALE,21,,2022-11-17 11:47:09.942000,2022-11-17 11:47:09.942000
50,PURCHASE,,29,2022-11-17 13:01:10.403000,2022-11-17 13:01:10.403000
51,PURCHASE,,30,2022-11-17 16:34:10.296000,2022-11-17 16:34:10.296000
52,PURCHASE,,31,2022-11-17 17:01:10.091000,2022-11-17 17:01:10.091000
53,SALE,22,,2022-11-17 17:13:10.235000,2022-11-17 17:13:10.235000
54,SALE,23,,2022-11-18 08:44:10.251000,2022-11-18 08:44:10.251000
55,SALE,24,,2022-11-18 11:32:10.363000,2022-11-18 11:32:10.363000
56,SALE,25,,2022-11-18 12:27:09.924000,2022-11-18 12:27:09.924000
57,PURCHASE,,32,2022-11-18 13:52:10.512000,2022-11-18 13:52:10.512000
58,PURCHASE,,33,2022-11-18 16:45:10.296000,2022-11-18 16:45:10.296000
59,PURCHASE,,34,2022-11-18 16:54:10.339000,2022-11-18 16:54:10.339000
60,PURCHASE,,35,2022-11-21 08:50:10.292000,2022-11-21 08:50:10.292000
61,SALE,26,,2022-11-21 08:54:09.974000,2022-11-21 08:54:09.974000
62,PURCHASE,,36,2022-11-21 14:51:10.476000,2022-11-21 14:51:10.476000
63,SALE,27,,2022-11-21 16:46:10.282000,2022-11-21 16:46:10.282000
64,PURCHASE,,37,2022-11-21 17:40:10.151000,2022-11-21 17:40:10.151000
65,PURCHASE,,38,2022-11-22 10:40:10.213000,2022-11-22 10:40:10.213000
66,SALE,28,,2022-11-22 11:21:10.343000,2022-11-22 11:21:10.343000
67,PURCHASE,,39,2022-11-22 12:23:10.271000,2022-11-22 12:23:10.271000
68,SALE,29,,2022-11-22 12:23:10.271000,2022-11-22 12:23:10.271000
69,SALE,30,,2022-11-22 13:15:10.374000,2022-11-22 13:15:10.374000
70,PURCHASE,,40,2022-11-22 13:38:10.357000,2022-11-22 13:38:10.357000
71,SALE,31,,2022-11-22 16:42:10.511000,2022-11-22 16:42:10.511000
